product_id,product_name,category,price,stock_quantity,last_updated
P001,Laptop Pro 15,Electronics,1299.99,45,2024-01-15
P002,Wireless Mouse,Electronics,29.99,150,2024-01-18
P003,Office Chair Deluxe,Furniture,349.99,30,2024-01-10
P004,Standing Desk,Furniture,599.99,20,2024-01-12
P005,USB-C Hub,Electronics,49.99,80,2024-01-20
P006,Noise Cancelling Headphones,Electronics,199.99,60,2024-01-16
P007,Ergonomic Keyboard,Electronics,89.99,75,2024-01-14
P008,Monitor 27inch 4K,Electronics,449.99,35,2024-01-19
P009,Desk Lamp LED,Furniture,39.99,100,2024-01-11
P010,Webcam HD,Electronics,79.99,55,2024-01-17
P011,Laptop Stand,Furniture,34.99,90,2024-01-13
P012,Wireless Charger,Electronics,24.99,120,2024-01-21
